ID,DOB,sex,study,DateStudy,Age,Rearing,RawScore,AdjScore,Context,Task,TotalExp,NowExp,Participated,
PRISSY 2430,01/01/1968,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
PUNCH 4647,28/12/1982,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
QUINCY 2721,01/01/1971,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,6,NA,0,
RADAR 5608,14/01/1990,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
REEUH 5294,29/10/1986,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
RHODA 1841,01/01/1963,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
ROGER 2246,01/01/1970,M,4,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
ROSIE 3459,27/12/1974,F,4,NA,#VALUE!,U,NA,NA,Video,Tool,4,NA,0,
ROXANNE 5681,27/09/1990,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,0,NA,0,
RUSTY 6176,17/10/1995,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
SABRINA 2167,01/01/1968,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
SAHBA 5666,09/07/1990,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
SAMSON 5063,14/09/1984,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
SANDY 3153,01/01/1972,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,7,NA,0,
SHAHEE 5645,23/05/1990,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
SIMBA 2724,01/01/1971,M,4,NA,#VALUE!,W,1,0.6153846,Video,Tool,3,NA,1,
SKEETER 3823,19/06/1999,M,4,NA,#VALUE!,U,NA,NA,Video,Tool,4,NA,0,
SIMON 2113,01/01/1968,M,4,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
SINDEE 6496,19/06/1999,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
SOPHIE 5442,26/05/1988,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
SPARKY 5492,02/12/1988,M,4,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
STAUN 5036,27/05/1984,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
SUHNA 5647,04/06/1990,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
TABU 9703,25/08/1991,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
TAFFY 9713,24/08/1999,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,0,NA,0,
TAHMIA 5565,15/07/1989,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
TAMBLO 5695,23/12/1990,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
TANG 2169,01/01/1968,F,4,NA,#VALUE!,W,0.38461538,0,Video,Tool,3,NA,1,
TANYA 2354,01/01/1969,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
TASHA 5871,18/11/1992,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
TINA 5210,24/01/1986,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
TINKER 4751,30/10/1983,M,4,NA,#VALUE!,U,NA,NA,Video,Tool,3,NA,0,
TODY 2720,01/01/1971,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
TOHBI 5556,14/06/1989,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
TONY 5651,20/06/1990,M,4,NA,#VALUE!,U,NA,NA,Video,Tool,2,NA,0,
TOTONI 6007,29/01/1994,M,4,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
TRACEY 5300,01/01/1987,F,4,NA,#VALUE!,N,NA,NA,Video,Tool,2,NA,0,
TULIK 4206,01/05/1980,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
VERANA 2431,01/01/1969,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
URSULA 1719,01/01/1964,F,4,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
WOTONI 4562,13/06/1982,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,0,NA,0,
XENA 6487,10/03/1999,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
ZIPPY 2537,01/01/1971,M,4,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
ZOE 10254,13/04/2002,F,4,NA,#VALUE!,M,NA,NA,Video,Tool,8,NA,0,
ABBEY 2105,23/03/1990,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
ADONIS 3521,09/02/1975,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
AHNI 6104,22/01/1995,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
AJAX 3912,01/01/1978,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,6,NA,0,
AKIMEL 4152,09/02/1980,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,6,NA,0,
ALEX 5188,31/12/1985,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
ALLIE 5540,24/04/1989,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
ALPHA 5066,08/11/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
ANGIE 3462,01/01/1975,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,5,NA,0,
ARMOND 9728,04/11/1986,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,5,NA,0,
APRIL 4205,30/04/1980,F,5,NA,#VALUE!,M,0.3076923,-0.07692308,Video,Tool,4,NA,1,
AUSTIN 5803,05/01/1992,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
BAHN 4523,02/03/1982,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
BART 5630,23/03/1990,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,2,NA,0,
BASHFUL 1768,01/01/1966,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,1,NA,0,
BECCA 5717,11/02/1991,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,5,NA,0,
BERNADETTE 3867,18/02/1978,F,5,NA,#VALUE!,N,0.3846154,0,Video,Tool,8,NA,1,
BERNIE 1929,01/01/1967,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
BETA 6039,23/06/1994,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
BETSY 1856,01/01/1965,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
BETTY 3440,05/09/1974,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
BILLY 5957,16/06/1993,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
BISCHK 5180,07/12/1985,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
BO 5951,16/05/1993,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
BRENDA 2768,01/01/1972,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
BRIA 6167,31/08/1995,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
BRUCE 3402,02/12/1974,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,0,NA,0,
CASSIE 5555,03/06/1989,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
CATHERINE 4015,11/02/1979,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
CECELIA 5721,24/02/1991,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,9,NA,0,
CESAR 5383,14/10/1987,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
CHECHEKUL 4544,03/05/1982,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
CHEOPI 6493,09/12/1990,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,5,NA,0,
CHESTER 6208,02/02/1996,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
CHINOOK 5465,25/08/1988,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,7,NA,0,
CHRISSY 2525,26/12/1969,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
CHUHIA 4244,14/09/1980,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
COCO 5061,20/08/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
CODY 5618,05/02/1990,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
CORDOVA 2763,01/01/1972,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
CYBILL 6182,27/11/1995,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,0,NA,0,
DAHPI 5130,03/08/1985,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
DODA 4654,20/01/1983,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,3,NA,0,
DOYLE 4721,22/05/1983,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
EESHA 5229,21/03/1986,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
EHSTO 6174,06/10/1995,M,5,NA,#VALUE!,M,0.3846154,0,Video,Tool,4,NA,1,
EMILY 5073,20/11/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
ENIGA 10245,30/04/1985,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
GAGE 7153,28/02/2001,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
GAYGOS 5787,09/11/1991,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,5,NA,0,
GERTRUDE 2201,01/01/1968,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,6,NA,0,
GIGI 1732,01/01/1962,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,5,NA,0,
GIMP 9696,01/01/1969,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,5,NA,0,
GISOKI 4746,18/10/1983,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
GLENDA 2108,01/01/1967,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
GRACIE 5867,04/09/1992,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,3,NA,0,
GREMLIN 2601,01/01/1971,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
HAAKID 5797,30/12/1991,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
HANNAH 5691,12/12/1990,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
HAPPY 3741,30/12/1976,F,5,NA,#VALUE!,U,NA,NA,Video,Tool,0,NA,0,
HAPPY P 1407,01/01/1962,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
HELGA 2006,01/01/1966,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
HENRYET 2602,01/01/1972,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
HOBBES 5659,17/07/1990,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,5,NA,0,
HODARI 5941,02/04/1993,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
HUEY 5687,12/11/1990,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
HUG 6377,14/11/1997,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
HUHKALIG 4703,20/03/1983,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
HUHNI 6046,16/08/1994,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
IDANI 5048,30/07/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
INDIA 5276,13/11/1986,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,1,NA,0,
IRIS 5835,08/05/1992,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
JAKE 5658,21/06/1990,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
JANA 5430,16/03/1988,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
JANE 2830,01/01/1971,F,5,NA,#VALUE!,W,1,0.61538461,Video,Tool,6,NA,1,
JAYME 4047,22/05/1979,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
JESSIE 5905,19/01/1993,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
JOEY 3033,01/01/1972,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,6,NA,0,
JOSIE 5626,04/03/1990,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
JOYCE 3865,28/01/1978,F,5,NA,#VALUE!,U,NA,NA,Video,Tool,0,NA,0,
JUDUMI 5676,26/08/1990,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,6,NA,0,
JUDY 2170,01/01/1968,F,5,NA,#VALUE!,W,0.3846154,0,Video,Tool,5,NA,1,
JUNIE 2243,01/01/1966,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,1,NA,0,
KAKAICHU 4305,11/12/1980,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
KALIONI 4441,04/10/1981,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
KAMPANI 5711,28/01/1991,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
KAREEM 6880,04/01/1989,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,2,NA,0,
KARIN 1422,01/01/1962,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
KAYA 5679,21/09/1990,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,1,NA,0,
KEHG 4540,30/04/1982,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
KELLEY 2107,01/01/1966,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,5,NA,0,
KENO 5753,13/06/1991,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,5,NA,0,
KIA 5377,15/09/1987,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
KIHT 5461,06/08/1988,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,5,NA,0,
KOBI 3020,01/01/1972,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,5,NA,0,
KROG 5823,08/03/1992,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
KUDZU 4639,07/12/1982,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
KUHTA 4162,11/03/1980,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
KUKUI 5035,24/04/1984,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
LACEY 3915,25/04/1978,F,5,NA,#VALUE!,U,NA,NA,Video,Tool,2,NA,0,
LEXUS 6396,23/02/1998,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
LULU 4510,16/01/1982,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
LYLE 6427,07/11/1998,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
MAE 2242,01/01/1965,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
MAGIC 5855,24/07/1992,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
MAHI 5650,10/06/1990,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
MAHSHO 5480,26/10/1988,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
MAISHPA 4520,25/02/1982,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,4,NA,0,
MANDY 5062,08/09/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
MARCUS 5789,18/11/1991,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
MARTHA 2429,01/01/1966,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,9,NA,0,
MARTIN 5883,21/12/1992,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
MARY 1855,01/01/1965,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,7,NA,0,
MAXI 5360,20/07/1987,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,3,NA,0,
MAYNARD 2200,01/01/1972,M,5,NA,#VALUE!,W,0.3846154,0,Video,Tool,9,NA,1,
MICHON 4648,29/12/1982,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
MILONI 5050,15/09/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
MISCHINI 5301,01/01/1987,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
MISTY 5042,17/06/1984,F,5,NA,#VALUE!,U,NA,NA,Video,Tool,3,NA,0,
MONIQUE 5769,30/08/1991,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
MOOSE 2045,01/01/1970,M,5,NA,#VALUE!,W,0.1538462,-0.23076923,Video,Tool,10,NA,1,
MUFFIN 4345,31/03/1981,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
NAHAGIO 4532,27/03/1982,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
NAHJA 5664,04/07/1990,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,6,NA,0,
NAHKO 5295,15/11/1986,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
NICK 5432,07/04/1988,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
NINA 4760,04/12/1983,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
NOWI 4716,12/05/1983,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
OKI 5080,13/11/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
OREO 5315,27/01/1987,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,2,NA,0,
OSCAR 5563,13/07/1989,M,5,NA,#VALUE!,N,0.3076923,-0.07692308,Video,Tool,3,NA,1,
PACER 2957,01/01/1971,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
PAHSTIHL 5221,24/02/1986,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,2,NA,0,
PATTI 2371,01/01/1969,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
PECOS 5421,28/02/1988,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
PEHGIA 5047,27/06/1984,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
PEPPER 2106,01/01/1967,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,9,NA,0,
PERRY 1549,01/01/1963,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
PIERRE 1844,01/01/1962,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
PIMACH 5873,28/11/1992,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
PIPLIN 6035,30/05/1994,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
POLLY 1756,01/01/1968,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,6,NA,0,
PRISSY 2430,01/01/1968,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
PUNCH 4647,28/12/1982,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
QUINCY 2721,01/01/1971,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,6,NA,0,
RADAR 5608,14/01/1990,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
REEUH 5294,29/10/1986,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
RHODA 1841,01/01/1963,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,2,NA,0,
ROGER 2246,01/01/1970,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
ROSIE 3459,27/12/1974,F,5,NA,#VALUE!,U,NA,NA,Video,Tool,4,NA,0,
ROXANNE 5681,27/09/1990,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,0,NA,0,
RUSTY 6176,17/10/1995,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
SABRINA 2167,01/01/1968,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
SAHBA 5666,09/07/1990,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,4,NA,0,
SAMSON 5063,14/09/1984,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,5,NA,0,
SANDY 3153,01/01/1972,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,7,NA,0,
SHAHEE 5645,23/05/1990,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
SIMBA 2724,01/01/1971,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
SKEETER 3823,19/06/1999,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,4,NA,0,
SIMON 2113,01/01/1968,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
SINDEE 6496,19/06/1999,F,5,NA,#VALUE!,M,0.3846154,0,Video,Tool,6,NA,1,
SOPHIE 5442,26/05/1988,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
SPARKY 5492,02/12/1988,M,5,NA,#VALUE!,N,NA,NA,Video,Tool,0,NA,0,
STAUN 5036,27/05/1984,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
SUHNA 5647,04/06/1990,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
TABU 9703,25/08/1991,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
TAFFY 9713,24/08/1999,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,0,NA,0,
TAHMIA 5565,15/07/1989,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
TAMBLO 5695,23/12/1990,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,1,NA,0,
TANG 2169,01/01/1968,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
TANYA 2354,01/01/1969,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
TASHA 5871,18/11/1992,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,7,NA,0,
TINA 5210,24/01/1986,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
TINKER 4751,30/10/1983,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,3,NA,0,
TODY 2720,01/01/1971,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,0,NA,0,
TOHBI 5556,14/06/1989,M,5,NA,#VALUE!,M,NA,NA,Video,Tool,2,NA,0,
TONY 5651,20/06/1990,M,5,NA,#VALUE!,U,NA,NA,Video,Tool,2,NA,0,
TOTONI 6007,29/01/1994,M,5,NA,#VALUE!,M,0.2307692,-0.15384615,Video,Tool,2,NA,1,
TRACEY 5300,01/01/1987,F,5,NA,#VALUE!,N,NA,NA,Video,Tool,2,NA,0,
TULIK 4206,01/05/1980,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,6,NA,0,
VERANA 2431,01/01/1969,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
URSULA 1719,01/01/1964,F,5,NA,#VALUE!,W,NA,NA,Video,Tool,4,NA,0,
WOTONI 4562,13/06/1982,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,0,NA,0,
XENA 6487,10/03/1999,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,3,NA,0,
ZIPPY 2537,01/01/1971,M,5,NA,#VALUE!,W,NA,NA,Video,Tool,3,NA,0,
ZOE 10254,13/04/2002,F,5,NA,#VALUE!,M,NA,NA,Video,Tool,8,NA,0,
ABBEY 2105,23/03/1990,F,6,01/04/2012,22,W,NA,NA,Group,Token,2,NA,0,
ADONIS 3521,09/02/1975,M,6,01/04/2012,37,M,NA,NA,Group,Token,4,NA,0,
AHNI 6104,22/01/1995,F,6,01/04/2012,17,M,NA,NA,Group,Token,4,NA,0,
AJAX 3912,01/01/1978,M,6,01/04/2012,34,U,NA,NA,Group,Token,6,NA,0,
AKIMEL 4152,09/02/1980,M,6,01/04/2012,32,N,0,-0.405,Group,Token,6,NA,1,
ALEX 5188,31/12/1985,M,6,01/04/2012,26,M,NA,NA,Group,Token,6,NA,0,
ALLIE 5540,24/04/1989,F,6,01/04/2012,22,N,NA,NA,Group,Token,0,NA,0,
ALPHA 5066,08/11/1984,F,6,01/04/2012,27,M,NA,NA,Group,Token,7,NA,0,
ANGIE 3462,01/01/1975,F,6,01/04/2012,37,W,0.19,-0.215,Group,Token,5,NA,1,
ARMOND 9728,04/11/1986,M,6,01/04/2012,25,U,NA,NA,Group,Token,5,NA,0,
APRIL 4205,30/04/1980,F,6,01/04/2012,31,M,NA,NA,Group,Token,4,NA,0,
AUSTIN 5803,05/01/1992,M,6,01/04/2012,20,M,0.19,-0.215,Group,Token,5,NA,1,
BAHN 4523,02/03/1982,M,6,01/04/2012,30,M,0.91,0.505,Group,Token,3,NA,1,
BART 5630,23/03/1990,M,6,01/04/2012,22,N,NA,NA,Group,Token,2,NA,0,
BASHFUL 1768,01/01/1966,F,6,01/04/2012,46,W,NA,NA,Group,Token,1,NA,0,
BECCA 5717,11/02/1991,F,6,01/04/2012,21,N,NA,NA,Group,Token,5,NA,0,
BERNADETTE 3867,18/02/1978,F,6,01/04/2012,34,N,NA,NA,Group,Token,8,NA,0,
BERNIE 1929,01/01/1967,F,6,01/04/2012,45,W,NA,NA,Group,Token,3,NA,0,
BETA 6039,23/06/1994,F,6,01/04/2012,17,M,NA,NA,Group,Token,5,NA,0,
BETSY 1856,01/01/1965,F,6,01/04/2012,47,W,NA,NA,Group,Token,3,NA,0,
BETTY 3440,05/09/1974,F,6,01/04/2012,37,M,0.97,0.565,Group,Token,7,NA,1,
BILLY 5957,16/06/1993,M,6,01/04/2012,18,M,1,0.595,Group,Token,6,NA,1,
BISCHK 5180,07/12/1985,F,6,01/04/2012,26,M,NA,NA,Group,Token,1,NA,0,
BO 5951,16/05/1993,M,6,01/04/2012,18,M,0.27,-0.135,Group,Token,5,NA,1,
BRENDA 2768,01/01/1972,F,6,01/04/2012,40,W,NA,NA,Group,Token,4,NA,0,
BRIA 6167,31/08/1995,F,6,01/04/2012,16,M,NA,NA,Group,Token,6,NA,0,
BRUCE 3402,02/12/1974,M,6,01/04/2012,37,U,NA,NA,Group,Token,0,NA,0,
CASSIE 5555,03/06/1989,F,6,01/04/2012,22,M,0.63,0.225,Group,Token,6,NA,1,
CATHERINE 4015,11/02/1979,F,6,01/04/2012,33,M,NA,NA,Group,Token,1,NA,0,
CECELIA 5721,24/02/1991,F,6,01/04/2012,21,M,0,-0.405,Group,Token,9,NA,1,
CESAR 5383,14/10/1987,M,6,01/04/2012,24,N,NA,NA,Group,Token,0,NA,0,
CHECHEKUL 4544,03/05/1982,F,6,01/04/2012,29,N,NA,NA,Group,Token,0,NA,0,
CHEOPI 6493,09/12/1990,F,6,01/04/2012,21,N,1,0.595,Group,Token,5,NA,1,
CHESTER 6208,02/02/1996,M,6,01/04/2012,16,M,0.26,-0.145,Group,Token,6,NA,1,
